0x00060d0e	input_monitor.a.channel.14.reverb
0x00060e00	input_monitor.a.channel.15.stereo
0x00060e02	input_monitor.a.channel.15.solo
0x00060e03	input_monitor.a.channel.15.mute
0x00060e04	input_monitor.a.channel.15.pan
0x00060e08	input_monitor.a.channel.15.volume
0x00060e0e	input_monitor.a.channel.15.reverb
0x00060f00	input_monitor.a.channel.16.stereo
0x00060f02	input_monitor.a.channel.16.solo
0x00060f03	input_monitor.a.channel.16.mute
0x00060f04	input_monitor.a.channel.16.pan
0x00060f08	input_monitor.a.channel.16.volume
0x00060f0e	input_monitor.a.channel.16.reverb
0x00061000	input_monitor.b.channel.1.stereo
0x00061002	input_monitor.b.channel.1.solo
0x00061003	input_monitor.b.channel.1.mute
0x00061004	input_monitor.b.channel.1.pan
0x00061008	input_monitor.b.channel.1.volume
0x0006100e	input_monitor.b.channel.1.reverb
0x00061100	input_monitor.b.channel.2.stereo
0x00061102	input_monitor.b.channel.2.solo
0x00061103	input_monitor.b.channel.2.mute
0x00061104	input_monitor.b.channel.2.pan
0x00061108	input_monitor.b.channel.2.volume
0x0006110e	input_monitor.b.channel.2.reverb
0x00061200	input_monitor.b.channel.3.stereo
0x00061202	input_monitor.b.channel.3.solo
0x00061203	input_monitor.b.channel.3.mute
0x00061204	input_monitor.b.channel.3.pan
0x00061208	input_monitor.b.channel.3.volume
0x0006120e	input_monitor.b.channel.3.reverb
0x00061300	input_monitor.b.channel.4.stereo
0x00061302	input_monitor.b.channel.4.solo
0x00061303	input_monitor.b.channel.4.mute
0x00061304	input_monitor.b.channel.4.pan
0x00061308	input_monitor.b.channel.4.volume
0x0006130e	input_monitor.b.channel.4.reverb
0x00061400	input_monitor.b.channel.5.stereo
0x00061402	input_monitor.b.channel.5.solo
0x00061403	input_monitor.b.channel.5.mute
0x00061404	input_monitor.b.channel.5.pan
0x00061408	input_monitor.b.channel.5.volume
0x0006140e	input_monitor.b.channel.5.reverb
0x00061500	input_monitor.b.channel.6.stereo
0x00061502	input_monitor.b.channel.6.solo
0x00061503	input_monitor.b.channel.6.mute
0x00061504	input_monitor.b.channel.6.pan
0x00061508	input_monitor.b.channel.6.volume
0x0006150e	input_monitor.b.channel.6.reverb
0x00061600	input_monitor.b.channel.7.stereo
0x00061602	input_monitor.b.channel.7.solo
0x00061603	input_monitor.b.channel.7.mute
0x00061604	input_monitor.b.channel.7.pan
0x00061608	input_monitor.b.channel.7.volume
0x0006160e	input_monitor.b.channel.7.reverb
0x00061700	input_monitor.b.channel.8.stereo
0x00061702	input_monitor.b.channel.8.solo
0x00061703	input_monitor.b.channel.8.mute
0x00061704	input_monitor.b.channel.8.pan
0x00061708	input_monitor.b.channel.8.volume
0x0006170e	input_monitor.b.channel.8.reverb
0x00061800	input_monitor.b.channel.9.stereo
0x00061802	input_monitor.b.channel.9.solo
0x00061803	input_monitor.b.channel.9.mute
0x00061804	input_monitor.b.channel.9.pan
0x00061808	input_monitor.b.channel.9.volume
0x0006180e	input_monitor.b.channel.9.reverb
0x00061900	input_monitor.b.channel.10.stereo
0x00061902	input_monitor.b.channel.10.solo
0x00061903	input_monitor.b.channel.10.mute
0x00061904	input_monitor.b.channel.10.pan
0x00061908	input_monitor.b.channel.10.volume
0x0006190e	input_monitor.b.channel.10.reverb
0x00061a00	input_monitor.b.channel.11.stereo
0x00061a02	input_monitor.b.channel.11.solo
0x00061a03	input_monitor.b.channel.11.mute
0x00061a04	input_monitor.b.channel.11.pan
0x00061a08	input_monitor.b.channel.11.volume
0x00061a0e	input_monitor.b.channel.11.reverb
0x00061b00	input_monitor.b.channel.12.stereo
0x00061b02	input_monitor.b.channel.12.solo
0x00061b03	input_monitor.b.channel.12.mute
0x00061b04	input_monitor.b.channel.12.pan
0x00061b08	input_monitor.b.channel.12.volume
0x00061b0e	input_monitor.b.channel.12.reverb
0x00061c00	input_monitor.b.channel.13.stereo
0x00061c02	input_monitor.b.channel.13.solo
0x00061c03	input_monitor.b.channel.13.mute
0x00061c04	input_monitor.b.channel.13.pan
0x00061c08	input_monitor.b.channel.13.volume
0x00061c0e	input_monitor.b.channel.13.reverb
0x00061d00	input_monitor.b.channel.14.stereo
0x00061d02	input_monitor.b.channel.14.solo
0x00061d03	input_monitor.b.channel.14.mute
0x00061d04	input_monitor.b.channel.14.pan
0x00061d08	input_monitor.b.channel.14.volume
0x00061d0e	input_monitor.b.channel.14.reverb
0x00061e00	input_monitor.b.channel.15.stereo
0x00061e02	input_monitor.b.channel.15.solo
0x00061e03	input_monitor.b.channel.15.mute
0x00061e04	input_monitor.b.channel.15.pan
0x00061e08	input_monitor.b.channel.15.volume
0x00061e0e	input_monitor.b.channel.15.reverb
0x00061f00	input_monitor.b.channel.16.stereo
0x00061f02	input_monitor.b.channel.16.solo
0x00061f03	input_monitor.b.channel.16.mute
0x00061f04	input_monitor.b.channel.16.pan
0x00061f08	input_monitor.b.channel.16.volume
0x00061f0e	input_monitor.b.channel.16.reverb
0x00062000	input_monitor.c.channel.1.stereo
0x00062002	input_monitor.c.channel.1.solo
0x00062003	input_monitor.c.channel.1.mute
0x00062004	input_monitor.c.channel.1.pan
0x00062008	input_monitor.c.channel.1.volume
0x0006200e	input_monitor.c.channel.1.reverb
0x00062100	input_monitor.c.channel.2.stereo
0x00062102	input_monitor.c.channel.2.solo
0x00062103	input_monitor.c.channel.2.mute
0x00062104	input_monitor.c.channel.2.pan
0x00062108	input_monitor.c.channel.2.volume
0x0006210e	input_monitor.c.channel.2.reverb
0x00062200	input_monitor.c.channel.3.stereo
0x00062202	input_monitor.c.channel.3.solo
0x00062203	input_monitor.c.channel.3.mute
0x00062204	input_monitor.c.channel.3.pan
0x00062208	input_monitor.c.channel.3.volume
0x0006220e	input_monitor.c.channel.3.reverb
0x00062300	input_monitor.c.channel.4.stereo
0x00062302	input_monitor.c.channel.4.solo
0x00062303	input_monitor.c.channel.4.mute
0x00062304	input_monitor.c.channel.4.pan
0x00062308	input_monitor.c.channel.4.volume
0x0006230e	input_monitor.c.channel.4.reverb
0x00062400	input_monitor.c.channel.5.stereo
0x00062402	input_monitor.c.channel.5.solo
0x00062403	input_monitor.c.channel.5.mute
0x00062404	input_monitor.c.channel.5.pan
0x00062408	input_monitor.c.channel.5.volume
0x0006240e	input_monitor.c.channel.5.reverb
0x00062500	input_monitor.c.channel.6.stereo
0x00062502	input_monitor.c.channel.6.solo
0x00062503	input_monitor.c.channel.6.mute
0x00062504	input_monitor.c.channel.6.pan
0x00062508	input_monitor.c.channel.6.volume
0x0006250e	input_monitor.c.channel.6.reverb
0x00062600	input_monitor.c.channel.7.stereo
0x00062602	input_monitor.c.channel.7.solo
0x00062603	input_monitor.c.channel.7.mute
0x00062604	input_monitor.c.channel.7.pan
0x00062608	input_monitor.c.channel.7.volume
0x0006260e	input_monitor.c.channel.7.reverb
0x00062700	input_monitor.c.channel.8.stereo
0x00062702	input_monitor.c.channel.8.solo
0x00062703	input_monitor.c.channel.8.mute
0x00062704	input_monitor.c.channel.8.pan
0x00062708	input_monitor.c.channel.8.volume
0x0006270e	input_monitor.c.channel.8.reverb
0x00062800	input_monitor.c.channel.9.stereo
0x00062802	input_monitor.c.channel.9.solo
0x00062803	input_monitor.c.channel.9.mute
0x00062804	input_monitor.c.channel.9.pan
0x00062808	input_monitor.c.channel.9.volume
0x0006280e	input_monitor.c.channel.9.reverb
0x00062900	input_monitor.c.channel.10.stereo
0x00062902	input_monitor.c.channel.10.solo
0x00062903	input_monitor.c.channel.10.mute
0x00062904	input_monitor.c.channel.10.pan
0x00062908	input_monitor.c.channel.10.volume
0x0006290e	input_monitor.c.channel.10.reverb
0x00062a00	input_monitor.c.channel.11.stereo
0x00062a02	input_monitor.c.channel.11.solo
0x00062a03	input_monitor.c.channel.11.mute
0x00062a04	input_monitor.c.channel.11.pan
0x00062a08	input_monitor.c.channel.11.volume
0x00062a0e	input_monitor.c.channel.11.reverb
0x00062b00	input_monitor.c.channel.12.stereo
0x00062b02	input_monitor.c.channel.12.solo
0x00062b03	input_monitor.c.channel.12.mute
0x00062b04	input_monitor.c.channel.12.pan
0x00062b08	input_monitor.c.channel.12.volume
0x00062b0e	input_monitor.c.channel.12.reverb
0x00062c00	input_monitor.c.channel.13.stereo
0x00062c02	input_monitor.c.channel.13.solo
0x00062c03	input_monitor.c.channel.13.mute
0x00062c04	input_monitor.c.channel.13.pan
0x00062c08	input_monitor.c.channel.13.volume
0x00062c0e	input_monitor.c.channel.13.reverb
0x00062d00	input_monitor.c.channel.14.stereo
0x00062d02	input_monitor.c.channel.14.solo
0x00062d03	input_monitor.c.channel.14.mute
0x00062d04	input_monitor.c.channel.14.pan
0x00062d08	input_monitor.c.channel.14.volume
0x00062d0e	input_monitor.c.channel.14.reverb
0x00062e00	input_monitor.c.channel.15.stereo
0x00062e02	input_monitor.c.channel.15.solo
0x00062e03	input_monitor.c.channel.15.mute
0x00062e04	input_monitor.c.channel.15.pan
0x00062e08	input_monitor.c.channel.15.volume
0x00062e0e	input_monitor.c.channel.15.reverb
0x00062f00	input_monitor.c.channel.16.stereo
0x00062f02	input_monitor.c.channel.16.solo
0x00062f03	input_monitor.c.channel.16.mute
0x00062f04	input_monitor.c.channel.16.pan
0x00062f08	input_monitor.c.channel.16.volume
0x00062f0e	input_monitor.c.channel.16.reverb
0x00063000	input_monitor.d.channel.1.stereo
0x00063002	input_monitor.d.channel.1.solo
0x00063003	input_monitor.d.channel.1.mute
0x00063004	input_monitor.d.channel.1.pan
0x00063008	input_monitor.d.channel.1.volume
0x0006300e	input_monitor.d.channel.1.reverb
0x00063100	input_monitor.d.channel.2.stereo
0x00063102	input_monitor.d.channel.2.solo
0x00063103	input_monitor.d.channel.2.mute
0x00063104	input_monitor.d.channel.2.pan
0x00063108	input_monitor.d.channel.2.volume
0x0006310e	input_monitor.d.channel.2.reverb
0x00063200	input_monitor.d.channel.3.stereo
0x00063202	input_monitor.d.channel.3.solo
0x00063203	input_monitor.d.channel.3.mute
0x00063204	input_monitor.d.channel.3.pan
0x00063208	input_monitor.d.channel.3.volume
0x0006320e	input_monitor.d.channel.3.reverb
0x00063300	input_monitor.d.channel.4.stereo
0x00063302	input_monitor.d.channel.4.solo
0x00063303	input_monitor.d.channel.4.mute
0x00063304	input_monitor.d.channel.4.pan
0x00063308	input_monitor.d.channel.4.volume
0x0006330e	input_monitor.d.channel.4.reverb
0x00063400	input_monitor.d.channel.5.stereo
0x00063402	input_monitor.d.channel.5.solo
0x00063403	input_monitor.d.channel.5.mute
0x00063404	input_monitor.d.channel.5.pan
0x00063408	input_monitor.d.channel.5.volume
0x0006340e	input_monitor.d.channel.5.reverb
0x00063500	input_monitor.d.channel.6.stereo
0x00063502	input_monitor.d.channel.6.solo
0x00063503	input_monitor.d.channel.6.mute
0x00063504	input_monitor.d.channel.6.pan
0x00063508	input_monitor.d.channel.6.volume
0x0006350e	input_monitor.d.channel.6.reverb
0x00063600	input_monitor.d.channel.7.stereo
0x00063602	input_monitor.d.channel.7.solo
0x00063603	input_monitor.d.channel.7.mute
0x00063604	input_monitor.d.channel.7.pan
0x00063608	input_monitor.d.channel.7.volume
0x0006360e	input_monitor.d.channel.7.reverb
0x00063700	input_monitor.d.channel.8.stereo
0x00063702	input_monitor.d.channel.8.solo
0x00063703	input_monitor.d.channel.8.mute
0x00063704	input_monitor.d.channel.8.pan
0x00063708	input_monitor.d.channel.8.volume
0x0006370e	input_monitor.d.channel.8.reverb
0x00063800	input_monitor.d.channel.9.stereo
0x00063802	input_monitor.d.channel.9.solo
0x00063803	input_monitor.d.channel.9.mute
0x00063804	input_monitor.d.channel.9.pan
0x00063808	input_monitor.d.channel.9.volume
0x0006380e	input_monitor.d.channel.9.reverb
0x00063900	input_monitor.d.channel.10.stereo
0x00063902	input_monitor.d.channel.10.solo
0x00063903	input_monitor.d.channel.10.mute
0x00063904	input_monitor.d.channel.10.pan
0x00063908	input_monitor.d.channel.10.volume
0x0006390e	input_monitor.d.channel.10.reverb
0x00063a00	input_monitor.d.channel.11.stereo
0x00063a02	input_monitor.d.channel.11.solo
0x00063a03	input_monitor.d.channel.11.mute
0x00063a04	input_monitor.d.channel.11.pan
0x00063a08	input_monitor.d.channel.11.volume
0x00063a0e	input_monitor.d.channel.11.reverb
0x00063b00	input_monitor.d.channel.12.stereo
0x00063b02	input_monitor.d.channel.12.solo
0x00063b03	input_monitor.d.channel.12.mute
0x00063b04	input_monitor.d.channel.12.pan
0x00063b08	input_monitor.d.channel.12.volume
0x00063b0e	input_monitor.d.channel.12.reverb
0x00063c00	input_monitor.d.channel.13.stereo
0x00063c02	input_monitor.d.channel.13.solo
0x00063c03	input_monitor.d.channel.13.mute
0x00063c04	input_monitor.d.channel.13.pan
0x00063c08	input_monitor.d.channel.13.volume
0x00063c0e	input_monitor.d.channel.13.reverb
0x00063d00	input_monitor.d.channel.14.stereo
0x00063d02	input_monitor.d.channel.14.solo
0x00063d03	input_monitor.d.channel.14.mute
0x00063d04	input_monitor.d.channel.14.pan
0x00063d08	input_monitor.d.channel.14.volume
0x00063d0e	input_monitor.d.channel.14.reverb
0x00063e00	input_monitor.d.channel.15.stereo
0x00063e02	input_monitor.d.channel.15.solo
0x00063e03	input_monitor.d.channel.15.mute
0x00063e04	input_monitor.d.channel.15.pan
0x00063e08	input_monitor.d.channel.15.volume
0x00063e0e	input_monitor.d.channel.15.reverb
0x00063f00	input_monitor.d.channel.16.stereo
0x00063f02	input_monitor.d.channel.16.solo
0x00063f03	input_monitor.d.channel.16.mute
0x00063f04	input_monitor.d.channel.16.pan
0x00063f08	input_monitor.d.channel.16.volume
0x00063f0e	input_monitor.d.channel.16.reverb
0x00070000	daw_monitor.a.channel.1.stereo
